Char    Shorthand           Proper
---------------------------------------------
B       psif                psif
C       oliapoelafken2      oli[apoelaf,ken2]
E       petapoelaf          pet[apoelaf]
I       pethamham           pet[ham[ham]]
L       apoapo              apo[apo]
O       petapohamham        pet[apo[ham[ham]]]
P       isoapo              iso[apo]
Q       petapo              pet[apo]
R       petham              pet[ham]
T       petapoham           pet[apo[ham]]
U       petapoelafham       pet[apoelaf[ham]]
V       olisynelafken2      oli[synelaf,ken2]
W       petelaf             pet[elaf]
X       oliapoken2          oli[apo,ken2]
Y       petelafham          pet[elaf[ham]]
Z       oliken2             oli[ken2]
b       olihamken2          oli[ham,ken2]
c       olielafken2         oli[elaf,ken2]
e       petken              pet[ken]
i       petypsyps           pet[yps[yps]]
o       petkenypsyps        pet[ken,yps[yps]]
p       petiso              pet[iso]
q       pet                 pet
r       petyps              pet[yps]
t       petypsL             pet[ypsL]
u       petkenypsU2         pet[ken,ypsU2]
v       oliypoken2          oli[ypo,ken2]
w       petoli              pet[oli]
x       oliisoken2          oli[iso,ken2]
y       petkenyps           pet[ken,yps]
z       oliken2D            oli[ken2D]
Ω       oliken2DC           oli[ken2DC]
™       olikenD             oli[kenD]
0       iso                 iso
1       oli                 oli
2       olikenDC            oli[kenDC]
3       oliken              oli[ken]
4       oliyps              oli[yps]
5       oliypsL             oli[ypsL]
6       olikenyps           oli[ken,yps]
7       olikenypsU2         oli[ken,ypsU2]
8       oliypsyps           oli[yps[yps]]
9       olikenypsyps        oli[ken,yps[yps]]
!       apo                 apo
@       elaf                elaf
#       apoelaf             apoelaf
$       ham                 ham
%       apoham              apo[ham]
^       elafham             elaf[ham]
&       apoelafham          apoelaf[ham]
*       hamham              ham[ham]
(       apohamham           apo[ham[ham]]
-       ypo                 ypo
_       synelaf             synelaf
`       ken2                ken2
